Field,Date,FIBBG000B9XRY4
Close,2023-01-03,124.2163
Close,2023-01-04,125.4975
Close,2023-01-05,124.1666
Close,2023-01-06,128.7352
Close,2023-01-09,129.2616
Close,2023-01-10,129.8377
Close,2023-01-11,132.5788
Close,2023-01-12,132.4994
Close,2023-01-13,133.8402
Close,2023-01-17,135.0121
Close,2023-01-18,134.2871
Close,2023-01-19,134.3467
Close,2023-01-20,136.9289
Close,2023-01-23,140.1468
Close,2023-01-24,141.5571
Close,2023-01-25,140.8917
Close,2023-01-26,142.9774
Close,2023-01-27,144.9339
Close,2023-01-30,142.0239
Close,2023-01-31,143.3051
Close,2023-02-01,144.4373
Close,2023-02-02,149.7905
Close,2023-02-03,153.4454
Close,2023-02-06,150.6943
Close,2023-02-07,153.5944
Close,2023-02-08,150.883
Close,2023-02-09,149.8402
Close,2023-02-10,150.2082
Close,2023-02-13,153.0332
Close,2023-02-14,152.3866
Close,2023-02-15,154.5053
Close,2023-02-16,152.8939
Close,2023-02-17,151.7401
Close,2023-02-21,147.6917
Close,2023-02-22,148.1194
Close,2023-02-23,148.6068
Close,2023-02-24,145.9311
Close,2023-02-27,147.1346
Close,2023-02-28,146.6273
Close,2023-03-01,144.5385
Close,2023-03-02,145.1353
Close,2023-03-03,150.2281
Close,2023-03-06,153.0133
Close,2023-03-07,150.7951
Close,2023-03-08,152.0584
Close,2023-03-09,149.7905
Close,2023-03-10,147.7116
Close,2023-03-13,149.6711
Close,2023-03-14,151.7798
Close,2023-03-15,152.1777
Close,2023-03-16,155.0225
Close,2023-03-17,154.177
Close,2023-03-20,156.5643
Close,2023-03-21,158.4343
Close,2023-03-22,156.992
Close,2023-03-23,158.0862
Close,2023-03-24,159.3992
Close,2023-03-27,157.4396
Close,2023-03-28,156.813
Close,2023-03-29,159.9164
Close,2023-03-30,161.498
Close,2023-03-31,164.0245
Close,2023-04-03,165.2877
Close,2023-04-04,164.7506
Close,2023-04-05,162.8905
Close,2023-04-06,163.7858
Close,2023-04-10,161.1697
Close,2023-04-11,159.9463
Close,2023-04-12,159.25
Close,2023-04-13,164.681
Close,2023-04-14,164.3328
Close,2023-04-17,164.3527
Close,2023-04-18,165.5861
Close,2023-04-19,166.74
Close,2023-04-20,165.7652
Close,2023-04-21,164.1438
Close,2023-04-24,164.4522
Close,2023-04-25,162.9005
Close,2023-04-26,162.8905
Close,2023-04-27,167.5158
Close,2023-04-28,168.7791
Close,2023-05-01,168.6896
Close,2023-05-02,167.6452
Close,2023-05-03,166.5609
Close,2023-05-04,164.9098
Close,2023-05-05,172.6485
Close,2023-05-08,172.5788
Close,2023-05-09,170.858
Close,2023-05-10,172.6335
Close,2023-05-11,172.8275
Close,2023-05-12,171.8912
Close,2023-05-15,171.3932
Close,2023-05-16,171.3932
Close,2023-05-17,172.0107
Close,2023-05-18,174.3614
Close,2023-05-19,174.471
Close,2023-05-22,173.5148
Close,2023-05-23,170.8852
Close,2023-05-24,171.1641
Close,2023-05-25,172.3095
